us_timestamp_ns,us_time_rel_s,us_pca1_raw,us_pca1_used,gt_time_sampled_rel_s,gt_flexion_aligned
1773777164597219800,0.0,36.81244208091561,36.81244208091561,0.12,0.030983450648565714
1773777164634232200,0.0370124,37.1309344826872,37.1309344826872,0.1570124,0.03416447549628823
1773777164671226800,0.074007,37.46487822047067,37.46487822047067,0.19400699999999999,0.03694725197465877
1773777164708216600,0.1109968,37.966949271831936,37.966949271831936,0.2309968,0.0404006140117891
1773777164745221700,0.1480019,38.41603490255239,38.41603490255239,0.2680019,0.04386241301020407
1773777164782225600,0.1850058,3.349914910908982,3.349914910908982,0.3050058,0.043971063304100305
1773777164819224100,0.2220043,3.370699264250095,3.370699264250095,0.3420043,0.0410128752594812
1773777164856243500,0.2590237,3.1589372232703807,3.1589372232703807,0.3790237,0.03674921867010546
1773777164893241000,0.2960212,3.1034806452270605,3.1034806452270605,0.4160212,0.03471862908959551
1773777164930228300,0.3330085,3.1878349490703046,3.1878349490703046,0.4530085,0.03451035525801407
1773777164967247100,0.3700273,3.3071338807781165,3.3071338807781165,0.4900273,0.03828913470225368
1773777165004250700,0.4070309,3.409674517922292,3.409674517922292,0.5270309,0.04529556640527898
1773777165041223700,0.4440039,3.342229627883941,3.342229627883941,0.5640039,0.05295290887940572
1773777165078258300,0.4810385,3.3588438382048906,3.3588438382048906,0.6010385,0.054768980042141494
1773777165115246900,0.5180271,3.114203918410031,3.114203918410031,0.6380271,0.044726879923085834
1773777165152253600,0.5550338,3.1080974411755897,3.1080974411755897,0.6750338,0.02453596779506336
1773777165189218500,0.5919987,3.309753397193902,3.309753397193902,0.7119987,0.0034607266549317468
1773777165226233100,0.6290133,3.429816487760727,3.429816487760727,0.7490133,-0.010213699821817347
1773777165263239500,0.6660197,3.442820534762964,3.442820534762964,0.7860197,-0.01714110266908672
1773777165300231100,0.7030113,3.3494500529265627,3.3494500529265627,0.8230113,-0.011664524525119166
1773777165337263200,0.7400434,3.585125927533925,3.585125927533925,0.8600434,0.003845449998058939
1773777165374217000,0.7769972,3.6336333799683267,3.6336333799683267,0.8969972,0.021474507242635374
1773777165411259000,0.8140392,3.6056818905133747,3.6056818905133747,0.9340392,0.034161384185786514
1773777165448228300,0.8510085,4.051445758336259,4.051445758336259,0.9710084999999999,0.042679280016579925
1773777165485275800,0.888056,4.1184736733393,4.1184736733393,1.0080559999999998,0.0494173398594712
1773777165522215800,0.924996,4.121367315676142,4.121367315676142,1.044996,0.054276364645898814
1773777165559225100,0.9620053,3.9778949481408046,3.9778949481408046,1.0820053,0.05828756554170921
1773777165596225800,0.999006,3.9789215920707566,3.9789215920707566,1.119006,0.06276060843497118
1773777165633223600,1.0360038,4.059784553374765,4.059784553374765,1.1560038000000001,0.06775197412820476
1773777165670301100,1.0730813,3.810767907886765,3.810767907886765,1.1930812999999998,0.07097075632544338
1773777165707272100,1.1100523,3.548014644584396,3.548014644584396,1.2300523,0.0709483338534119
1773777165744231400,1.1470116,5.4836304711003825,5.4836304711003825,1.2670116,0.06896331826991205
1773777165781230100,1.1840103,7.17143830363632,7.17143830363632,1.3040102999999998,0.06587887674268317
1773777165818233200,1.2210134,9.719218766801834,9.719218766801834,1.3410134,0.055615521296339655
1773777165855238700,1.2580189,11.175261372388837,11.175261372388837,1.3780188999999998,0.03139642865735471
1773777165892442000,1.2952222,12.417292205909645,12.417292205909645,1.4152222,-0.02696445849015692
1773777165929214400,1.3319946,16.142047157534527,16.142047157534527,1.4519946,-0.193886569012919
1773777165966227800,1.369008,13.593992774370832,13.593992774370832,1.489008,-0.5611465491506432
1773777166003243300,1.4060235,14.434175549953427,14.434175549953427,1.5260235,-1.1275607867667032
1773777166040239800,1.44302,15.370266543560316,15.370266543560316,1.5630199999999999,-1.8965803603947737
1773777166077233800,1.480014,6.080066255317647,6.080066255317647,1.6000139999999998,-2.8956966874784937
1773777166114215100,1.5169953,-7.737870822645587,-7.737870822645587,1.6369953000000002,-4.114279376599449
1773777166151221500,1.5540017,-22.07078321299802,-22.07078321299802,1.6740016999999998,-5.377303282729919
1773777166188228000,1.5910082,-39.946610329564564,-39.946610329564564,1.7110082000000002,-6.820622927063452
1773777166225223700,1.6280039,-73.70656951453688,-73.70656951453688,1.7480039,-8.385346813614222
1773777166262226600,1.6650068,-106.83865449703,-106.83865449703,1.7850068000000001,-10.119841528560329
1773777166299234600,1.7020148,-139.48230895852288,-139.48230895852288,1.8220147999999998,-11.712813496449884
1773777166336247600,1.7390278,-173.51859800256756,-173.51859800256756,1.8590277999999998,-13.233565783711143
1773777166373212700,1.7759929,-207.99020492153727,-207.99020492153727,1.8959929,-14.793266165012842
1773777166410235400,1.8130156,-234.60223790392732,-234.60223790392732,1.9330156,-16.6977518506346
1773777166448233100,1.8510133,-256.3882445682944,-256.3882445682944,1.9710133,-18.89962250372522
1773777166485224800,1.888005,-277.0125885485869,-277.0125885485869,2.008005,-21.009521233338194
1773777166522262000,1.9250422,-293.13448706094454,-293.13448706094454,2.0450422,-23.09588445174796
1773777166559225100,1.9620053,-289.04205599352406,-289.04205599352406,2.0820053,-25.141778928136766
1773777166596700700,1.9994809,-292.92161878926294,-292.92161878926294,2.1194809,-27.181580532555763
1773777166633250900,2.0360311,-289.2381690232798,-289.2381690232798,2.1560311000000003,-29.310781704626546
1773777166670238000,2.0730182,-287.1032915699007,-287.1032915699007,2.1930182,-31.38561855579389
1773777166707244600,2.1100248,-284.12000812937436,-284.12000812937436,2.2300248000000003,-33.42516621852255
1773777166744263400,2.1470436,-282.9028837829185,-282.9028837829185,2.2670436,-35.59281254537683
1773777166781270500,2.1840507,-281.8225951303765,-281.8225951303765,2.3040507,-37.830343752974144
1773777166818289000,2.2210692,-281.97832640707065,-281.97832640707065,2.3410692,-39.88418229731142
1773777166855268100,2.2580483,-284.495338153149,-284.495338153149,2.3780483,-41.85170967122479
1773777166892226200,2.2950064,-290.9324958930814,-290.9324958930814,2.4150064,-43.803137850560425
1773777166929222200,2.3320024,-291.1196220744001,-291.1196220744001,2.4520024,-45.81917754340088
1773777166966212500,2.3689927,-287.5512940810538,-287.5512940810538,2.4889927000000003,-47.813780816129444
1773777167003233600,2.4060138,-280.6208381828911,-280.6208381828911,2.5260138000000003,-49.867600433614626
1773777167040244100,2.4430243,-274.01280261860063,-274.01280261860063,2.5630243,-52.17878361984814
1773777167077238300,2.4800185,-253.76932544958254,-253.76932544958254,2.6000185,-54.53865882603238
1773777167114259100,2.5170393,-234.1671773200433,-234.1671773200433,2.6370393,-56.7180195676426
1773777167151254500,2.5540347,-214.47367116603445,-214.47367116603445,2.6740347,-58.913562927826014
1773777167188238500,2.5910187,-193.55110468032146,-193.55110468032146,2.7110187,-60.95830613224609
1773777167225238300,2.6280185,-150.28694888500385,-150.28694888500385,2.7480185,-62.90018648076605
1773777167262238600,2.6650188,-108.70735041400658,-108.70735041400658,2.7850188,-64.7936321631213
1773777167299226600,2.7020068,-62.99443237380132,-62.99443237380132,2.8220068,-66.54708248130795
1773777167336238300,2.7390185,-47.07131510168713,-47.07131510168713,2.8590185,-68.39860983677072
1773777167373245200,2.7760254,-29.403637217211042,-29.403637217211042,2.8960254,-70.36960457272063
1773777167410245700,2.8130259,-21.924159831352828,-21.924159831352828,2.9330259,-72.37344090213543
1773777167447294400,2.8500746,-13.803943008583698,-13.803943008583698,2.9700746000000002,-74.40626283170131
1773777167484229800,2.88701,-5.1808808175016186,-5.1808808175016186,3.00701,-76.31143991308022
1773777167521235800,2.924016,4.927178012108042,4.927178012108042,3.044016,-77.94686714296942
1773777167562264000,2.9650442,-11.800842013476615,-11.800842013476615,3.0850442,-79.34113452542704
1773777167599226100,3.0020063,-28.525875089992734,-28.525875089992734,3.1220063000000002,-80.08880856797312
1773777167636215900,3.0389961,-65.91780453549899,-65.91780453549899,3.1589961,-80.43536118900343
1773777167673283900,3.0760641,-69.17272820399066,-69.17272820399066,3.1960641,-80.39939968683225
1773777167710218900,3.1129991,-74.47841850471706,-74.47841850471706,3.2329991000000002,-79.92888198088541
1773777167747238900,3.1500191,-80.80445868279593,-80.80445868279593,3.2700191000000003,-78.87227166334176
1773777167784236000,3.1870162,-78.19837217984234,-78.19837217984234,3.3070162,-77.3557917168114
1773777167821250200,3.2240304,-76.34342077874261,-76.34342077874261,3.3440304000000003,-75.45435716096155
1773777167858290100,3.2610703,-71.56611266202631,-71.56611266202631,3.3810703,-72.91621252981717
1773777167895253800,3.298034,-64.43727671932676,-64.43727671932676,3.418034,-70.1235012223917
1773777167932276300,3.3350565,-57.16741374165732,-57.16741374165732,3.4550565,-67.46831520647605
1773777167969235300,3.3720155,-40.33107149031585,-40.33107149031585,3.4920155,-64.71853772589364
1773777168006234500,3.4090147,-47.61908676896626,-47.61908676896626,3.5290147000000003,-61.84380766738687
1773777168043220600,3.4460008,-57.7379250104906,-57.7379250104906,3.5660008000000003,-58.85288884087098
1773777168080256100,3.4830363,-67.630248608623,-67.630248608623,3.6030363000000003,-55.93381010030799
1773777168117235400,3.5200156,-117.31452937883057,-117.31452937883057,3.6400156,-52.6096509782567
1773777168154223400,3.5570036,-193.37953277746553,-193.37953277746553,3.6770036,-49.00737380111425
1773777168191223300,3.5940035,-272.0386563001226,-272.0386563001226,3.7140035,-45.45748891520713
1773777168228221100,3.6310013,-352.0115912814232,-352.0115912814232,3.7510013,-41.6376004723976
1773777168265226800,3.668007,-403.72762827089355,-403.72762827089355,3.788007,-37.98334503094209
1773777168302238300,3.7050185,-454.7751127617542,-454.7751127617542,3.8250185,-34.504222155669765
1773777168339281000,3.7420612,-464.30503013285494,-464.30503013285494,3.8620612000000003,-31.04325809598532
1773777168376424700,3.7792049,-441.7814978394731,-441.7814978394731,3.8992049,-27.699242762175196
1773777168413236400,3.8160166,-421.5020728622398,-421.5020728622398,3.9360166000000003,-24.44850135015713
1773777168450243400,3.8530236,-370.28587427317046,-370.28587427317046,3.9730236000000003,-21.38172170849298
1773777168487218700,3.8899989,-307.18118322090663,-307.18118322090663,4.0099989,-18.626314817795407
1773777168524221600,3.9270018,-257.6949563663467,-257.6949563663467,4.0470018,-15.704578589863319
1773777168561236700,3.9640169,-204.85030639609045,-204.85030639609045,4.0840169,-12.633082128951637
1773777168598287100,4.0010673,-201.4175965818616,-201.4175965818616,4.1210673,-9.530470236353198
1773777168635229400,4.0380096,-204.32549410048404,-204.32549410048404,4.1580096,-6.3172103646717215
1773777168672218700,4.0749989,-233.11485859557675,-233.11485859557675,4.1949989,-3.0812021043090256
1773777168709239400,4.1120196,-294.5637709045171,-294.5637709045171,4.2320196,0.38768450516401365
1773777168746237300,4.1490175,-359.74284072323576,-359.74284072323576,4.2690175,3.7798980386311753
1773777168783226000,4.1860062,-423.6341319617045,-423.6341319617045,4.3060062,7.13276137437561
1773777168820398100,4.2231783,-473.0071790966212,-473.0071790966212,4.3431783,10.177124061685063
1773777168857225800,4.260006,-502.8417583954118,-502.8417583954118,4.380006,13.167304784318013
1773777168894229000,4.2970092,-529.1184267648055,-529.1184267648055,4.4170092,15.984341141281465
1773777168931281200,4.3340614,-534.2223210676251,-534.2223210676251,4.4540614000000005,18.63842724671437
1773777168968230600,4.3710108,-516.9991709111434,-516.9991709111434,4.4910108,21.075393238786468
1773777169005388900,4.4081691,-499.466787687479,-499.466787687479,4.5281691,23.406078030648583
1773777169049281300,4.4520615,-467.8307307882693,-467.8307307882693,4.5720615,26.051355102783795
1773777169086224900,4.4890051,-419.333869531938,-419.333869531938,4.6090051,28.070651618311725
1773777169123236200,4.5260164,-355.56303224194954,-355.56303224194954,4.6460164,29.957796783518557
1773777169162323600,4.5651038,-291.463086107134,-291.463086107134,4.6851038,31.889590792668972
1773777169199220500,4.6020007,-228.50748013130996,-228.50748013130996,4.7220007,33.70399182094581
1773777169236214700,4.6389949,-147.94178475856714,-147.94178475856714,4.7589949,35.44004998886652
1773777169273236100,4.6760163,-59.73899520745351,-59.73899520745351,4.7960163,37.06625970721868
1773777169310220000,4.7130002,13.026795169306837,13.026795169306837,4.8330002,38.565495357857074
1773777169347223200,4.7500034,102.59582393611618,102.59582393611618,4.8700034,39.87855640765486
1773777169384227600,4.7870078,188.50055014398913,188.50055014398913,4.9070078,41.07314105578874
1773777169421277700,4.8240579,262.94346706176304,262.94346706176304,4.9440579,42.22522975366099
1773777169458245700,4.8610259,327.6678506078946,327.6678506078946,4.9810259,43.24868942725845
1773777169495462900,4.8982431,394.6792486712174,394.6792486712174,5.0182431,44.27836467136304
