trial,failed,error,train_sessions,val_sessions,session_norm,crop_first,crop_last,unstable_remove,gauss_sigma,win,step,b,include_mean,include_var,include_energy_sigmoid,early_stopping,validation_fraction,random_state,use_pca,pca_components,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,n_iter_no_change,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,train_time_s,actual_n_iter
62,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,20,10.0,30,3.475181996878877,1.8641840029564885,1.272294071938382,0.9976993477299538,400.5748140968251,20.014365193451056,16.379265627535673,0.681901015987406,34.96445710002445,3000
124,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,50,1.0,30,2.9889323031550856,1.7288528864987576,1.1537736541380181,0.9980212564710441,402.36490470297616,20.059035487853752,16.41991108807951,0.6804794937571803,34.23383649997413,3000
484,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,50,1.0,30,2.9889323031550856,1.7288528864987576,1.1537736541380181,0.9980212564710441,402.36490470297616,20.059035487853752,16.41991108807951,0.6804794937571803,27.347839099820703,3000
94,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,12,200,1.0,30,25.535140257667244,5.053230675287567,3.491255233900891,0.9830951361820727,404.00204817748545,20.09980219249646,16.40005179681605,0.6791794278079557,13.712260300060734,3000
454,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,12,200,1.0,30,25.535140257667244,5.053230675287567,3.491255233900891,0.9830951361820727,404.00204817748545,20.09980219249646,16.40005179681605,0.6791794278079557,11.531410299940035,3000
116,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,100,10.0,30,10.466684270367399,3.235225536244328,2.2084745892778495,0.9930708086804937,404.58839728633217,20.11438284627028,16.5400958874166,0.6787138042858645,20.187402799958363,3000
476,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,100,10.0,30,10.466684270367399,3.235225536244328,2.2084745892778495,0.9930708086804937,404.58839728633217,20.11438284627028,16.5400958874166,0.6787138042858645,18.326053600059822,3000
498,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,50,20.0,30,3.116808888529572,1.7654486366160789,1.200631328988594,0.9979365991619616,404.81133603026836,20.119923857466965,16.470248861186988,0.678536767224503,30.505706600146368,3000
138,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,12,50,20.0,30,3.116808888529572,1.7654486366160789,1.200631328988594,0.9979365991619616,404.81133603026836,20.119923857466965,16.470248861186988,0.678536767224503,38.54741620004643,3000
426,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,50,20.0,30,3.9865564567874263,1.9966362855531365,1.350013455340756,0.99736080580234,404.9925853259731,20.124427577597658,16.45078818151409,0.6783928360166793,25.74013500008732,3000
